responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,Actual Remote Days,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
644,1979,Male,Other,Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,much more productive,1,7,1,0,0,9,1,1
645,1987,Male,Other,Sales ,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3-4 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,2,10,2,2,0.5,10,2,2
646,1965,Female,Education and Training,Managers,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,0.5,2,3,3,0,2,3,3
647,1966,Female,Education and Training,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,less productive,1,7,5,2,0.5,7,7,2
648,1962,Female,Education and Training,Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1,6.25,2,2.5,0.5,6.25,3,2.5
649,1970,Female,Health Care and Social Assistance,Professionals,I am the only employee,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0,6,2,2,0,6,2,2
650,1990,Male,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,2,10,10,2,2,10,10,2
651,1972,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2,8,3,1,0,9,0,0
652,1981,Male,Education and Training,Professionals,More than 200,No,Single person,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,0.75,7.5,0.5,0,0.1,8,1,0
653,1969,Male,Other,Managers,More than 200,Yes,Single person,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,0-1 days,0-1 days,Somewhat agree,Strongly agree,Strongly agree,much less productive,2,10,11,1,0,11,12,1
654,1985,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1.5,10,1,2,0,11,3,1
655,1981,Male,"Professional, Scientific and Technical Services",Sales ,Between 20 and 199,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,more productive,2,5,0,0,0,7,2,2
656,1960,Female,Education and Training,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,0-1 days,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,2-3 days,2-3 days,Strongly disagree,Neither agree nor disagree,Strongly disagree,more productive,0,8,0,0,0,8,0,0
657,1988,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,1-2 days,1-2 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,much less productive,3,7,3.5,1,0,8,4,1
658,1986,Female,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.5,8,2,1,0.25,10,2,2
659,1966,Female,Other,Clerical and administrative ,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,7,4,1,2,7,2,2
660,1966,Male,Information Media and Telecommunications,Managers,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,3,9,0,0,0.5,11,0,0
661,1960,Male,Education and Training,Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Regional,1-2 days,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,2-3 days,0-1 days,Somewhat disagree,Strongly disagree,Strongly disagree,less productive,3,6,2,2,2,4,4,3
662,1970,Female,Financial and Insurance Services,Sales ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,1,8,1,2,0,8,2,2
663,1984,Male,Health Care and Social Assistance,Managers,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,more productive,0.75,9,6,1,0.4,9,7,1
664,1985,Female,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,1,5,10,3,1,6,9,2
665,1982,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Group household,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,more productive,1,7,1,1,0,7,2,1
666,1985,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Group household,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,2-3 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,4,11,0.5,0,0.5,11,2,1
667,1975,Male,Other,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,2-3 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,2.5,10,0,2,0,10,1,2
668,1979,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,more productive,2,7,2,1,0,9,2,1
669,1976,Male,Other,Other,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1-2 days,3-4 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,2,4,6,2,5,4,5,3
670,1980,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1,8,8,2,0,8,8,3
671,1985,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Strongly agree,Neither agree nor disagree,Strongly agree,much more productive,3,8,2,1,0.5,8,4,1
672,1988,Female,Other,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,3.5,8.5,4,1,0,8.5,6,1
673,1984,Male,Education and Training,Professionals,More than 200,No,Single person,Between 1 and 5 years,Regional,0-1 days,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,1,7,3,2,0.5,6,5,1
674,1973,Female,Other,Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2.5,8,4,2,0.5,9,4,2
675,1971,Male,Financial and Insurance Services,Clerical and administrative ,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1,8,2,1,0,8,2,2
676,1962,Female,Other,Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly disagree,Somewhat disagree,Strongly disagree,much more productive,4,8,2,1,0.5,8,2,1
677,1972,Male,Education and Training,Professionals,Between 20 and 199,No,Single person,More than 5 years,Metro,1-2 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,3-4 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,1.75,9,1,0.5,1.2,7,0.5,0.4
678,1986,Male,Retail Trade,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Neither agree nor disagree,Somewhat agree,same productivity,2,5,4,2,0,5,6,3
679,1995,Male,Education and Training,Managers,Between 1 and 4,No,Single person,Between 6 and 12 months,Metro,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,2,4,1,0,0.5,5,3,1
680,1984,Female,"Professional, Scientific and Technical Services",Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,4,8.5,2,1.5,0.5,8.5,5,1
681,1977,Male,Other,Other,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Regional,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1,6,2,1,0.5,6,2,1
682,1965,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3,9,9,3,1,9,9,5
683,1964,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,3-4 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,3-4 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,more productive,2,9,11,2,0,9,4,2
684,1985,Female,Education and Training,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,more productive,1,7,3,1,1,7,3,2
685,1982,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,much more productive,4,8,2,1,4,8,2,1
686,1958,Male,Retail Trade,Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,2,7,5,5,1,7,8,8
687,1960,Male,Other,Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0-1 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,1,6,1,0.5,5,5,1,0.5
688,1987,Female,Other Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3,8,3,1,0,8,5,2
689,1984,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1,7,8,8,0,7,10,7
690,1960,Male,Other Services,Other,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,0-1 days,2-3 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1,7,2,4,1,6,4,2
691,1962,Female,Other,Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Regional,1-2 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,less productive,1,8,6,2,1,6,6,2
692,1956,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,3-4 days,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,same productivity,1,11,2,3,0,11,3,3
693,1986,Male,Other Services,Other,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Strongly disagree,Somewhat disagree,Neither agree nor disagree,much less productive,3,8,4,2,0,1,8,4
694,1958,Male,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2,8,2,2,0.5,8.5,3,2
695,1959,Male,"Professional, Scientific and Technical Services",Managers,I am the only employee,No,Single person,More than 5 years,Regional,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,more productive,0.5,8,3,1,0,8,3,1
696,1955,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,6,8,3,1,0,10,6,1
697,1988,Male,Other,Other,Between 5 and 19,Yes,Single person,Between 6 and 12 months,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,3-4 days,3-4 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,less productive,1,5,2,8,1,8,5,2.5
698,1985,Male,Other,Sales ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1,9,2,4,0,6,4,2
699,1970,Female,Other,Clerical and administrative ,Between 5 and 19,No,Multiple family household,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,same productivity,2.5,9.5,9,3,0,9.5,10,4.5
700,1991,Female,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,4-5 days,3-4 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,much more productive,5,8,2,2,5,8,2,2
701,1986,Male,Education and Training,Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Regional,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3,5,1,1,0,8,5,1
702,1987,Male,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,0-1 days,Strongly disagree,Neither agree nor disagree,Somewhat disagree,much less productive,1,7.5,7,0.5,0.5,7.5,7.5,0.5
703,1956,Male,Other,Professionals,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,much more productive,0.5,8,2,1,0.5,8,3,1
704,1989,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,1,6,6,1,0,6,6,5
705,1968,Female,Financial and Insurance Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,8,3.5,2,0,10,12,2
706,1965,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,much more productive,4,9,3,2,0,13,3,2
707,1988,Male,Other,Sales ,Between 1 and 4,No,Group household,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,6,4,3,0,7,3,3
708,1990,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1,8,3,2,0,8,4,2
709,1988,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,2-3 days,Strongly agree,Somewhat agree,Somewhat agree,less productive,1,9,4,1,0.5,9,5,1
710,1985,Male,Other,Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,much more productive,1,5,1,4,2,1,4,1
711,1957,Female,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Couple with no dependent children,More than 5 years,Regional,0-1 days,No response,No response,No response,No response,No response,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,1,8,4,1,0,10,3,0
712,1987,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,same productivity,1,9,8,6,0,9,9,6
713,1989,Male,Financial and Insurance Services,Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,more productive,2,7.5,0,0,0,7.5,0.5,0.5
714,1986,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,7,4,2,0,7.5,5,2
715,1958,Male,Financial and Insurance Services,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,0.5,8,4,1,0,12,2,1
716,1991,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,1,8,2,1,0,8,4,1
717,1963,Male,Retail Trade,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,1,6,2,0,1,6,2,0
718,1987,Female,Information Media and Telecommunications,Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3,10,3,2,0.5,10,3,2
719,1963,Male,Education and Training,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat disagree,Somewhat agree,Somewhat agree,more productive,2,8,4,3,0.5,8,6,2
720,1986,Female,Other,Professionals,Between 5 and 19,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Strongly agree,much less productive,2,8,5,1,0,10,5,1
721,1969,Female,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,0.5,8,6,2,0,8,8,7
722,1960,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,more productive,4,8,3,1,0.5,8,4,4
723,1990,Female,Other,Managers,Between 5 and 19,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Neither agree nor disagree,Somewhat disagree,Strongly agree,less productive,2,7,2,1,0,6,4,1
724,1955,Female,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,much more productive,2,8,2,4,0,8,2,4
725,1961,Male,"Professional, Scientific and Technical Services",Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,2,10,4,1,0,10,6,1
726,1963,Female,Information Media and Telecommunications,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,3-4 days,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,0.5,3,8,1,0,3,8,1
727,1979,Male,Other,Other,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,more productive,1,8,3,2,5,3,8,1
728,1992,Female,Other,Professionals,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,1,9,3,3,0,9,4,3
729,1974,Female,Information Media and Telecommunications,Managers,More than 200,Yes,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,much more productive,2,8,4,2,0,8,6,2
